Tỉnh/TP, Tổng số ca, Số ca mới, Tử vong
TP.  Hồ  Chí  Minh, 84.240, +2.740, 778
Bình  Dương, 11.957, +1.284, 5
Bắc  Giang, 5.815, 0, 13
Long  An, 4.451, +21, 49
Đồng  Nai, 3.611, +203, 14
Đồng  Tháp, 2.373, +90, 46
Tiền  Giang, 2.146, +242, 1
Bắc  Ninh, 1.754, 0, 13
Hà  Nội, 1.510, +63, 21
Tây  Ninh, 1.475, +88, 1
Khánh  Hòa, 1.465, +78, 17
Đà  Nẵng, 1.329, 0, 37
Phú  Yên, 1.237, +17, 0
Bà  Rịa  -  Vũng  Tàu, 961, 0, 1
Hải  Dương, 833, 0, 0
Vĩnh  Long, 754, +15, 7
Bến  Tre, 722, +79, 6
Cần  Thơ, 603, +23, 0
Bình  Thuận, 515, 0, 0
An  Giang, 309, 0, 1
Kiên  Giang, 301, +17, 2
Hưng  Yên, 293, 0, 0
Trà  Vinh, 281, 0, 2
Quảng  Ngãi, 273, 0, 0
Vĩnh  Phúc, 232, 0, 0
Quảng  Nam, 223, 0, 3
Nghệ  An, 201, 0, 1
Ninh  Thuận, 194, 0, 1
Bình  Phước, 178, 0, 0
Bình  Định, 157, +18, 0
Đắk  Lắk, 151, 0, 0
Hà  Tĩnh, 151, +2, 1
Sóc  Trăng, 137, 0, 0
Lạng  Sơn, 129, +2, 1
Hậu  Giang, 129, 0, 0
Quảng  Ninh, 104, 0, 0
Thanh  Hóa, 86, 0, 0
Bạc  Liêu, 81, 0, 0
Thái  Bình, 79, 0, 0
Hà  Nam, 68, 0, 0
Gia  Lai, 63, 0, 0
Điện  Biên, 59, 0, 0
Ninh  Bình, 59, 0, 0
Đắk  Nông, 54, +2, 0
Hoà  Bình, 43, 0, 0
Lâm  Đồng, 42, 0, 0
Cà  Mau, 38, 0, 0
Hải  Phòng, 37, 0, 0
Thừa  Thiên  Huế, 36, 0, 0
Nam  Định, 30, 0, 0
Quảng  Trị, 19, 0, 1
Thái  Nguyên, 18, +3, 0
Hà  Giang, 17, 0, 0
Phú  Thọ, 13, 0, 0
Lào  Cai, 11, 0, 0
Bắc  Kạn, 6, 0, 0
Kon  Tum, 6, 0, 0
Yên  Bái, 5, 0, 0
Sơn  La, 3, 0, 0
Quảng  Bình, 3, 0, 0
Tuyên  Quang, 2, 0, 0
Lai  Châu, 2, 0, 0
